(0.10473, 0.21239, 0.73650)
(0.10487, 0.21208, 0.73643)
(0.10813, 0.20799, 0.73915)
(0.10811, 0.20790, 0.73905)
(0.10811, 0.20790, 0.73905)
(0.10811, 0.20790, 0.73905)
(0.11015, 0.20592, 0.74562)
(0.11158, 0.20878, 0.75562)
(0.11188, 0.21062, 0.76147)
(0.11187, 0.21062, 0.76150)
(0.10733, 0.20791, 0.76180)
(0.09341, 0.19583, 0.76891)
(0.08447, 0.19125, 0.75679)
(0.09035, 0.19701, 0.76691)
(0.09046, 0.19122, 0.77179)
(0.08996, 0.18944, 0.77678)
(0.08919, 0.20047, 0.79859)
(0.07636, 0.21528, 0.80797)
(0.06370, 0.23502, 0.83100)
(0.05119, 0.25360, 0.84141)
(0.03461, 0.26105, 0.86196)
(0.01528, 0.26952, 0.88413)
(-0.00596, 0.28529, 0.90889)
(-0.02231, 0.30132, 0.93021)
(-0.03074, 0.32764, 0.94538)
(-0.04429, 0.35132, 0.96564)
(-0.05325, 0.37492, 0.98155)
(-0.06646, 0.40381, 0.99271)
(-0.08547, 0.43060, 1.02479)
(-0.10928, 0.46534, 1.06438)
(-0.14250, 0.47962, 1.10513)
(-0.15023, 0.47202, 1.12520)
(-0.16370, 0.48208, 1.15131)
(-0.20028, 0.54437, 1.23003)
(-0.21558, 0.55828, 1.23361)
(-0.23319, 0.57466, 1.25795)
(-0.23400, 0.53380, 1.23387)
(-0.24834, 0.56378, 1.29853)
(-0.24264, 0.55985, 1.32100)
(-0.24778, 0.55594, 1.33926)
(-0.26666, 0.55211, 1.32392)
(-0.31064, 0.57231, 1.39327)
(-0.28461, 0.56133, 1.33360)
(-0.27615, 0.58746, 1.39492)
(-0.28470, 0.58616, 1.41219)
(-0.31379, 0.55282, 1.41124)
(-0.31332, 0.55218, 1.41645)
(-0.31884, 0.55078, 1.44930)
(-0.33362, 0.54067, 1.44406)
(-0.33822, 0.53296, 1.44945)
(-0.36734, 0.55525, 1.46743)
(-0.37656, 0.56105, 1.49552)
(-0.38775, 0.55342, 1.49155)
(-0.38960, 0.53272, 1.51615)
(-0.39455, 0.50865, 1.51552)
(-0.40275, 0.47803, 1.52587)
(-0.40763, 0.46566, 1.52749)
(-0.40772, 0.44056, 1.52377)
(-0.40737, 0.40690, 1.51739)
(-0.40709, 0.40541, 1.51755)
(-0.40885, 0.36698, 1.51752)
(-0.41009, 0.32801, 1.53261)
(-0.39559, 0.32092, 1.54264)
(-0.39174, 0.29405, 1.55612)
(-0.39027, 0.28181, 1.57056)
(-0.39558, 0.24146, 1.59975)
(-0.39943, 0.21532, 1.62648)
(-0.40533, 0.20272, 1.64703)
(-0.42070, 0.19093, 1.68524)
(-0.42387, 0.18490, 1.70382)
(-0.43952, 0.16197, 1.73710)
(-0.43910, 0.15758, 1.75157)
(-0.44035, 0.16257, 1.78406)
(-0.47408, 0.17564, 1.84469)
(-0.48504, 0.18007, 1.87862)
(-0.49390, 0.19152, 1.91298)
(-0.50552, 0.19545, 1.93397)
(-0.50206, 0.20615, 1.95085)
(-0.49904, 0.21096, 1.97987)
(-0.50880, 0.23230, 2.00554)
(-0.51112, 0.24098, 2.02777)
(-0.51898, 0.25317, 2.05436)
(-0.52238, 0.25617, 2.07097)
(-0.53754, 0.25795, 2.09726)
(-0.54302, 0.25926, 2.11588)
(-0.54887, 0.25873, 2.13119)
(-0.55215, 0.26471, 2.15010)
(-0.55342, 0.26882, 2.16389)
(-0.55232, 0.26915, 2.16730)
(-0.54494, 0.27662, 2.20287)
(-0.54061, 0.27611, 2.21543)
(-0.53746, 0.27467, 2.22527)
(-0.53745, 0.27430, 2.23608)
(-0.53655, 0.27422, 2.24494)
(-0.53941, 0.27540, 2.25190)
(-0.53897, 0.27623, 2.25855)
(-0.53541, 0.27618, 2.26474)
(-0.53897, 0.28224, 2.27407)
(-0.54239, 0.28391, 2.27893)
(-0.54236, 0.28389, 2.27894)
(-0.54174, 0.28577, 2.28247)
(-0.53730, 0.28450, 2.28450)
(-0.53976, 0.28140, 2.29564)
(-0.53817, 0.28164, 2.29582)
(-0.53610, 0.28017, 2.29109)
(-0.53787, 0.28303, 2.29653)
(-0.53987, 0.28431, 2.29954)
(-0.54015, 0.28496, 2.30429)
(-0.54215, 0.28409, 2.30705)
(-0.54196, 0.28478, 2.30684)
(-0.53726, 0.28557, 2.30928)
(-0.53973, 0.28472, 2.30818)
(-0.54022, 0.28482, 2.30761)
(-0.53704, 0.28356, 2.30605)
(-0.53649, 0.28389, 2.30673)
(-0.53626, 0.28223, 2.30469)
(-0.53203, 0.28239, 2.30502)
(-0.53196, 0.28073, 2.30245)
(-0.52781, 0.27935, 2.30270)
(-0.52596, 0.28167, 2.30259)
(-0.52664, 0.28271, 2.30154)
(-0.52363, 0.28503, 2.30413)
(-0.52185, 0.28522, 2.30269)
(-0.52188, 0.28519, 2.30269)
(-0.52220, 0.28397, 2.30355)
(-0.51868, 0.28432, 2.30708)
(-0.52185, 0.28348, 2.30335)
(-0.52184, 0.28307, 2.30597)
(-0.52245, 0.28134, 2.30534)
(-0.52245, 0.28134, 2.30534)
(-0.52082, 0.28478, 2.30834)
(-0.52183, 0.28256, 2.30834)
(-0.52183, 0.28256, 2.30835)
(-0.51951, 0.28290, 2.30493)
(-0.51955, 0.28289, 2.30492)
(-0.51885, 0.28379, 2.30823)
(-0.51878, 0.28128, 2.30869)
(-0.51850, 0.28126, 2.30495)
(-0.51839, 0.28327, 2.30755)
(-0.51835, 0.28114, 2.30741)
(-0.51835, 0.28114, 2.30742)
(-0.51835, 0.28114, 2.30742)
(-0.51459, 0.28185, 2.31075)
(-0.51460, 0.28185, 2.31075)
(-0.51463, 0.28186, 2.31012)
(-0.51463, 0.28186, 2.31012)
(-0.51612, 0.28227, 2.31054)
(-0.51638, 0.28188, 2.31270)
(-0.51638, 0.28188, 2.31270)
(-0.51684, 0.28140, 2.31233)
(-0.51531, 0.28412, 2.31318)
(-0.51639, 0.28077, 2.31013)
(-0.51579, 0.28141, 2.31183)
(-0.51522, 0.28275, 2.31207)
(-0.51538, 0.28219, 2.31136)
(-0.51438, 0.28310, 2.30962)
(-0.51483, 0.28152, 2.30871)
(-0.51517, 0.28076, 2.30885)
(-0.51543, 0.28076, 2.30893)
(-0.51547, 0.28180, 2.30978)
(-0.51596, 0.28290, 2.31080)
(-0.51621, 0.28140, 2.31017)
(-0.51631, 0.28136, 2.31020)
(-0.51678, 0.28154, 2.31369)
(-0.51535, 0.27933, 2.31228)
(-0.51427, 0.28341, 2.31185)
(-0.51427, 0.28339, 2.31183)
(-0.51397, 0.28056, 2.30561)
(-0.51499, 0.27953, 2.30348)
(-0.51329, 0.27775, 2.29634)
(-0.51004, 0.27928, 2.28902)
(-0.50913, 0.27747, 2.27887)
(-0.50574, 0.27749, 2.26942)
(-0.50595, 0.27756, 2.26807)
(-0.50091, 0.27578, 2.23974)
(-0.49720, 0.28046, 2.22268)
(-0.49824, 0.28043, 2.20562)
(-0.48809, 0.27895, 2.18798)
(-0.48252, 0.27753, 2.17374)
(-0.47628, 0.27471, 2.14863)
(-0.47183, 0.27333, 2.13143)
(-0.46812, 0.27074, 2.11361)
(-0.46440, 0.26627, 2.08960)
(-0.46063, 0.26141, 2.07033)
(-0.45520, 0.25706, 2.04473)
(-0.44929, 0.25207, 2.02078)
(-0.44615, 0.24223, 1.99960)
(-0.43789, 0.23519, 1.97654)
(-0.43570, 0.22645, 1.95700)
(-0.43031, 0.21677, 1.94243)
(-0.42785, 0.21380, 1.93520)
(-0.42147, 0.20792, 1.91477)
(-0.42028, 0.20663, 1.91186)
(-0.42026, 0.20661, 1.91182)
(-0.42021, 0.20652, 1.91169)
(-0.41474, 0.18635, 1.88487)
(-0.41432, 0.18588, 1.88317)
(-0.41433, 0.18405, 1.87857)
(-0.41548, 0.17640, 1.85663)
(-0.41529, 0.17619, 1.85633)
(-0.41440, 0.17161, 1.84977)
(-0.41389, 0.17133, 1.84909)
(-0.41134, 0.16908, 1.84885)
(-0.41149, 0.17037, 1.84762)
(-0.41148, 0.17032, 1.84760)
(-0.41148, 0.17032, 1.84760)
(-0.40994, 0.16876, 1.84581)
(-0.41002, 0.16888, 1.84598)
(-0.41051, 0.16777, 1.84742)
